Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
208,26.3672,4.3945,60.4248,-0.1792,1.0024,-0.0381,102.597,-147.2321,-112.657
209,27.8931,3.2959,62.3169,-0.1484,1.0063,-0.0459,120.0192,-134.6774,-84.4927
210,28.4424,2.3804,63.1104,-0.1372,1.0146,-0.0488,120.0192,-134.6774,-84.4927
211,29.8462,-0.3052,65.2466,-0.1177,1.0278,-0.0542,112.276,-141.5255,-122.0451
212,30.9448,-1.9531,66.4063,-0.1118,1.0283,-0.0522,131.6339,-132.3948,-59.4579
213,32.3486,-3.9062,67.3828,-0.1055,1.0293,-0.0479,131.6339,-132.3948,-59.4579
214,35.4614,-9.0942,68.9697,-0.0986,1.0273,-0.0356,118.0834,-128.9708,-87.6221
215,36.8652,-11.9019,69.397,-0.0937,1.0259,-0.0327,129.6981,-128.9708,-87.6221
216,39.0015,-17.334,69.8853,-0.0918,1.0181,-0.0342,129.6981,-124.4054,-93.8808
217,39.5508,-19.6533,70.0684,-0.0933,1.0161,-0.0352,129.6981,-124.4054,-93.8808
218,40.3442,-24.1699,70.3125,-0.0981,1.0103,-0.043,118.0834,-122.1228,-87.6221
219,40.7715,-26.3672,70.3735,-0.1016,1.0054,-0.0444,129.6981,-115.2748,-81.3634
220,41.8701,-30.8838,70.0073,-0.1113,1.0049,-0.0532,129.6981,-122.1228,-81.3634
221,42.4805,-33.02,70.0073,-0.1167,1.0034,-0.0479,129.6981,-122.1228,-81.3634
222,44.2505,-37.1704,69.6411,-0.127,0.9951,-0.0469,121.955,-115.2748,-68.846
223,44.8608,-39.1235,69.1528,-0.1328,0.9863,-0.0483,123.8908,-109.5681,-65.7166
224,45.105,-40.8325,68.5425,-0.1416,0.9819,-0.0498,133.5697,-103.8614,-62.5872
225,45.166,-43.457,67.3828,-0.1538,0.9761,-0.0537,133.5697,-103.8614,-62.5872
226,45.2271,-44.4336,66.8945,-0.1577,0.9722,-0.0562,137.4413,-101.5788,-50.0698
227,45.7764,-46.2036,66.1621,-0.1689,0.9609,-0.0522,127.7624,-100.4374,-59.4579
228,46.2646,-46.875,65.4907,-0.1748,0.9526,-0.0566,133.5697,-92.4481,-43.8111
